,data,cotas
4,1985-01-05,244.0
44,1985-02-14,240.0
82,1985-03-24,320.0
83,1985-03-25,240.0
339,1989-01-05,400.0
340,1989-01-06,382.0
413,1989-03-20,320.0
414,1989-03-21,396.0
588,1989-09-11,300.0
697,1989-12-29,380.0
698,1989-12-30,410.0
743,1990-02-13,240.0
744,1990-02-14,260.0
746,1990-02-16,242.0
761,1990-03-03,250.0
950,1990-09-08,320.0
1058,1990-12-25,236.0
1088,1991-01-24,263.0
1132,1991-10-06,306.0
1171,1991-11-14,322.0
1172,1991-11-15,300.0
1250,1992-02-01,410.0
1254,1992-02-05,405.0
1255,1992-02-06,380.0
1256,1992-02-07,284.0
1257,1992-02-08,480.0
1617,1993-02-02,290.0
1710,1993-05-06,340.0
1767,1993-07-02,408.0
1947,1993-12-29,290.0
2642,1995-12-24,567.0
2870,1996-09-08,236.0
2959,1996-12-06,274.0
3010,1997-01-26,436.0
3016,1997-02-01,234.0
3038,1997-02-23,246.0
3278,1997-10-21,367.0
3353,1998-01-04,250.0
3426,1998-03-18,287.0
3427,1998-03-19,295.0
3437,1998-03-29,268.0
3682,1998-11-29,280.0
3845,1999-06-10,286.0
3869,1999-07-04,251.0
3952,1999-09-25,261.0
4065,2000-01-16,234.0
4084,2000-02-04,282.0
4115,2000-03-06,250.0
4376,2001-09-22,264.0
4377,2001-09-23,304.0
4384,2001-09-30,327.0
4385,2001-10-01,248.0
5072,2005-05-19,259.0
5176,2005-08-31,250.0
5195,2005-09-19,266.0
5625,2009-03-23,238.0
5655,2009-04-22,266.0
5656,2009-04-23,280.0
5657,2009-04-24,258.0
5658,2009-04-25,245.0
5734,2009-07-10,295.0
5740,2009-07-16,286.0
5741,2009-07-17,282.0
5756,2009-08-01,309.0
5757,2009-08-02,302.0
5774,2009-08-19,280.0
5775,2009-08-20,238.0
5796,2009-09-10,246.0
5798,2009-09-12,280.0
5804,2009-09-18,235.0
5813,2009-09-27,280.0
5814,2009-09-28,360.0
5855,2009-11-08,270.0
5872,2009-11-25,240.0
5875,2009-11-28,240.0
5889,2009-12-12,314.0
5907,2009-12-30,280.0
5912,2010-01-04,308.0
5913,2010-01-05,290.0
5918,2010-01-10,360.0
5929,2010-01-21,260.0
5938,2010-01-30,290.0
5947,2010-02-08,410.0
5950,2010-02-11,440.0
5973,2010-03-06,268.0
5991,2010-03-24,360.0
5992,2010-03-25,384.0
5993,2010-03-26,300.0
5996,2010-03-29,350.0
6023,2010-04-25,250.0
6024,2010-04-26,300.0
6025,2010-04-27,248.0
6036,2010-05-08,260.0
6040,2010-05-12,398.0
6041,2010-05-13,246.0
6046,2010-05-18,480.0
6047,2010-05-19,340.0
6048,2010-05-20,244.0
6049,2010-05-21,240.0
6050,2010-05-22,280.0
6051,2010-05-23,314.0
6052,2010-05-24,246.0
6062,2010-06-03,256.0
6063,2010-06-04,418.0
6064,2010-06-05,270.0
6107,2010-07-18,238.0
6108,2010-07-19,310.0
6109,2010-07-20,264.0
6112,2010-07-23,258.0
6121,2010-08-01,362.0
6125,2010-08-05,234.0
6173,2010-09-22,250.0
6178,2010-09-27,234.0
6179,2010-09-28,252.0
6188,2010-10-07,314.0
6211,2010-10-30,290.0
6228,2010-11-16,250.0
6229,2010-11-17,336.0
6234,2010-11-22,280.0
6235,2010-11-23,244.0
6241,2010-11-29,310.0
6264,2010-12-22,247.0
6278,2011-01-05,250.0
6279,2011-01-06,260.0
6280,2011-01-07,240.0
6285,2011-01-12,304.0
6286,2011-01-13,236.0
6289,2011-01-16,359.0
6292,2011-01-19,309.0
6293,2011-01-20,300.0
6294,2011-01-21,238.0
6295,2011-01-22,460.0
6296,2011-01-23,340.0
6297,2011-01-24,254.0
6298,2011-01-25,240.0
6299,2011-01-26,242.0
6302,2011-01-29,240.0
6305,2011-02-01,240.0
6310,2011-02-06,240.0
6311,2011-02-07,286.0
6314,2011-02-10,290.0
6315,2011-02-11,269.0
6316,2011-02-12,250.0
6317,2011-02-13,246.0
6318,2011-02-14,292.0
6319,2011-02-15,249.0
6320,2011-02-16,239.0
6324,2011-02-20,390.0
6325,2011-02-21,380.0
6326,2011-02-22,340.0
6327,2011-02-23,240.0
6328,2011-02-24,256.0
6329,2011-02-25,248.0
6331,2011-02-27,294.0
6342,2011-03-10,450.0
6343,2011-03-11,290.0
6344,2011-03-12,550.0
6345,2011-03-13,420.0
6382,2011-05-19,284.0
6420,2011-06-26,290.0
6421,2011-06-27,281.0
6456,2011-08-01,300.0
6457,2011-08-02,264.0
6463,2011-08-08,250.0
6464,2011-08-09,510.0
6465,2011-08-10,290.0
6466,2011-08-11,250.0
6478,2011-08-23,263.0
6479,2011-08-24,265.0
6480,2011-08-25,270.0
6484,2011-08-29,290.0
6485,2011-08-30,370.0
6486,2011-08-31,254.0
6492,2011-09-06,296.0
6493,2011-09-07,358.0
6494,2011-09-08,520.0
6495,2011-09-09,340.0
6496,2011-09-10,256.0
6497,2011-09-11,236.0
6502,2011-09-16,245.0
6503,2011-09-17,252.0
6504,2011-09-18,242.0
6507,2011-09-21,236.0
6537,2011-10-21,240.0
6586,2011-12-09,250.0
6590,2011-12-13,380.0
6607,2011-12-30,286.0
6608,2011-12-31,250.0
6609,2012-01-01,350.0
6618,2012-01-10,330.0
6619,2012-01-11,298.0
6621,2012-01-13,294.0
6622,2012-01-14,420.0
6623,2012-01-15,260.0
6625,2012-01-17,310.0
6626,2012-01-18,260.0
6648,2012-02-09,350.0
6649,2012-02-10,250.0
6650,2012-02-11,323.0
6750,2012-05-21,250.0
6764,2012-06-04,238.0
6782,2012-06-22,380.0
6817,2012-07-27,248.0
6821,2012-07-31,248.0
6822,2012-08-01,252.0
6919,2012-11-06,244.0
7013,2013-02-08,256.0
7014,2013-02-09,248.0
7017,2013-02-12,256.0
7020,2013-02-15,270.0
7038,2013-03-05,296.0
7053,2013-03-20,306.0
7054,2013-03-21,420.0
7055,2013-03-22,250.0
7067,2013-04-03,260.0
7068,2013-04-04,410.0
7069,2013-04-05,290.0
7070,2013-04-06,236.0
7147,2013-06-22,263.0
7178,2013-07-23,237.0
7237,2013-09-20,300.0
7238,2013-09-21,400.0
7239,2013-09-22,322.0
7240,2013-09-23,250.0
7313,2013-12-05,253.0
7323,2013-12-15,267.0
7342,2014-01-03,288.0
7384,2014-02-14,235.0
7397,2014-02-27,325.0
7411,2014-03-13,254.0
7416,2014-03-18,234.0
7417,2014-03-19,240.0
7496,2014-06-06,239.0
7498,2014-06-08,278.0
7499,2014-06-09,244.0
7517,2014-06-27,270.0
7518,2014-06-28,366.0
7519,2014-06-29,308.0
7567,2014-08-16,238.0
7611,2014-09-29,346.0
7613,2014-10-01,284.0
7626,2014-10-14,360.0
7684,2014-12-11,246.0
7720,2015-01-16,266.0
7721,2015-01-17,260.0
7722,2015-01-18,410.0
7723,2015-01-19,242.0
7725,2015-01-21,250.0
7746,2015-02-11,306.0
7758,2015-02-23,270.0
7761,2015-02-26,250.0
7769,2015-03-06,262.0
7792,2015-03-29,282.0
7793,2015-03-30,255.0
7812,2015-04-18,234.0
7844,2015-05-20,250.0
7850,2015-05-26,265.0
7851,2015-05-27,349.0
7852,2015-05-28,244.0
7855,2015-05-31,293.0
7869,2015-06-14,334.0
7870,2015-06-15,234.0
7902,2015-07-17,234.0
7906,2015-07-21,234.0
7909,2015-07-24,416.0
7943,2015-08-27,297.0
7955,2015-09-08,234.0
7958,2015-09-11,270.0
7964,2015-09-17,274.0
7974,2015-09-27,310.0
7975,2015-09-28,272.0
7986,2015-10-09,260.0
7987,2015-10-10,262.0
7989,2015-10-12,248.0
7991,2015-10-14,264.0
7993,2015-10-16,314.0
7994,2015-10-17,262.0
7998,2015-10-21,284.0
7999,2015-10-22,330.0
8000,2015-10-23,244.0
8005,2015-10-28,238.0
8006,2015-10-29,298.0
8007,2015-10-30,276.0
8008,2015-10-31,244.0
8009,2015-11-01,260.0
8010,2015-11-02,234.0
8012,2015-11-04,290.0
8013,2015-11-05,252.0
8014,2015-11-06,244.0
8026,2015-11-18,252.0
8037,2015-11-29,268.0
8048,2015-12-10,242.0
8066,2015-12-28,490.0
8067,2015-12-29,260.0
8068,2015-12-30,234.0
8069,2015-12-31,270.0
8070,2016-01-01,234.0
8074,2016-01-05,242.0
8098,2016-01-29,370.0
8100,2016-01-31,284.0
8102,2016-02-02,238.0
8104,2016-02-04,252.0
8105,2016-02-05,250.0
8125,2016-02-25,242.0
8132,2016-03-03,310.0
8133,2016-03-04,240.0
8139,2016-03-10,274.0
8140,2016-03-11,239.0
8154,2016-03-25,350.0
8155,2016-03-26,250.0
8170,2016-04-10,248.0
8187,2016-04-27,254.0
8266,2016-07-15,260.0
8267,2016-07-16,262.0
8317,2016-09-04,298.0
8363,2016-10-20,244.0
8368,2016-10-25,288.0
8369,2016-10-26,260.0
8408,2016-12-04,274.0
8418,2016-12-14,240.0
8428,2016-12-24,320.0
8429,2016-12-25,238.0
8431,2016-12-27,254.0
8434,2016-12-30,270.0
8435,2016-12-31,236.0
8436,2017-01-01,252.0
8441,2017-01-06,252.0
8461,2017-01-26,324.0
8462,2017-01-27,240.0
8466,2017-01-31,250.0
8467,2017-02-01,270.0
8469,2017-02-03,238.0
8470,2017-02-04,238.0
8478,2017-02-12,252.0
8534,2017-04-09,234.0
8535,2017-04-10,244.0
8574,2017-05-19,307.0
8575,2017-05-20,301.0
8576,2017-05-21,380.0
8579,2017-05-24,280.0
8582,2017-05-27,276.0
8583,2017-05-28,298.0
8584,2017-05-29,246.0
8585,2017-05-30,234.0
8586,2017-05-31,380.0
8587,2017-06-01,374.0
8588,2017-06-02,246.0
8590,2017-06-04,236.0
8591,2017-06-05,408.0
8592,2017-06-06,272.0
8593,2017-06-07,242.0
8594,2017-06-08,236.0
8708,2017-09-30,298.0
8810,2018-01-10,238.0
8811,2018-01-11,286.0
8812,2018-01-12,256.0
8888,2018-03-29,380.0
8889,2018-03-30,270.0
8890,2018-03-31,317.0
8939,2018-05-19,236.0
9047,2018-09-04,272.0
9134,2018-11-30,241.0
9214,2019-02-18,246.0
9316,2019-05-31,262.0
9480,2019-11-11,340.0
9482,2019-11-13,240.0
9483,2019-11-14,266.0
9541,2020-01-11,264.0
9568,2020-02-07,301.0
9569,2020-02-08,374.0
9587,2020-02-26,242.0
9758,2020-08-15,322.0
9782,2020-09-08,260.0
9868,2020-12-03,298.0
9869,2020-12-04,236.0
9872,2020-12-07,265.0
9880,2020-12-15,280.0
9882,2020-12-17,236.0
9900,2021-01-04,235.0
9917,2021-01-21,238.0
9918,2021-01-22,258.0
9919,2021-01-23,247.0
9921,2021-01-25,239.0
9925,2021-01-29,315.0
9926,2021-01-30,249.0
9955,2021-02-28,302.0
9958,2021-03-03,288.0
9959,2021-03-04,245.0
9964,2021-03-09,240.0
10056,2021-06-09,384.0
10075,2021-06-28,274.0
10076,2021-06-29,263.0
10147,2021-09-08,240.0
10170,2021-10-01,290.0
10178,2021-10-09,239.0
10179,2021-10-10,234.0
10181,2021-10-12,410.0
10182,2021-10-13,270.0
10183,2021-10-14,239.0
10200,2021-10-31,276.0
10218,2021-11-18,372.0
10384,2022-05-03,380.0
10385,2022-05-04,384.0
10386,2022-05-05,329.0
10418,2022-06-06,240.0
10483,2022-08-10,286.0
10491,2022-08-18,260.0
10544,2022-10-10,244.0
10545,2022-10-11,265.0
10550,2022-10-16,260.0
10592,2022-11-27,320.0
10593,2022-11-28,244.0
10594,2022-11-29,334.0
10595,2022-11-30,404.0
10596,2022-12-01,600.0
10708,2023-03-23,308.0
10723,2023-04-07,235.0
10750,2023-05-04,260.0
